date,spx,dji,ixic,rut
1997-08-18,912.49,7803.3599,1569.52,408.73
1997-08-19,926.01,7918.1001,1600.71,413.79
1997-08-20,939.35,8021.2002,1628.7,419.07
1997-08-21,925.05,7894.0,1607.36,417.04
1997-08-22,923.54,7887.8999,1598.6899,415.73
1997-08-25,920.16,7859.6001,1601.5699,418.09
1997-08-26,913.02,7782.2002,1591.3,418.31
1997-08-27,913.7,7787.2998,1595.54,420.84
1997-08-28,903.67,7694.3999,1581.3199,421.59
1997-08-29,899.47,7622.3999,1587.3199,423.43
1997-09-02,927.58,7879.7998,1618.09,428.05
1997-09-03,927.86,7894.6001,1618.24,428.79
1997-09-04,930.87,7867.2002,1624.63,429.71
1997-09-05,929.05,7822.3999,1635.77,433.04
1997-09-08,931.2,7835.2002,1645.35,435.99
1997-09-09,933.62,7851.8999,1656.22,437.75
1997-09-10,919.03,7719.2998,1639.25,436.9
1997-09-11,912.59,7661.0,1639.86,435.93
1997-09-12,923.91,7743.0,1649.33,440.09
1997-09-15,919.77,7721.1001,1634.92,440.17
1997-09-16,945.64,7895.8999,1668.6,445.18
1997-09-17,943.0,7886.3999,1666.47,446.15
1997-09-18,947.29,7922.7002,1670.02,446.5
1997-09-19,950.51,7917.2998,1680.36,447.17
1997-09-22,955.43,7996.7998,1689.45,448.98
1997-09-23,951.93,7970.1001,1697.36,449.42
1997-09-24,944.48,7906.7002,1687.41,448.58
1997-09-25,937.91,7848.0,1678.89,447.92
1997-09-26,945.22,7922.2002,1682.24,448.88
1997-09-29,953.34,7991.3999,1694.98,451.31
1997-09-30,947.28,7945.2998,1685.6899,453.82
1997-10-01,955.41,8015.5,1690.3,454.69
1997-10-02,960.46,8027.5,1702.41,456.94
1997-10-03,965.03,8038.6001,1715.87,459.52
1997-10-06,972.69,8100.2002,1721.91,461.7
1997-10-07,983.12,8178.2998,1737.27,463.78
1997-10-08,973.84,8095.1001,1741.77,463.66
1997-10-09,970.62,8061.3999,1745.85,464.55
1997-10-10,966.98,8045.2002,1739.03,465.03
1997-10-13,968.1,8072.2002,1742.12,465.21
1997-10-14,970.28,8096.2998,1732.79,463.97
1997-10-15,965.72,8058.0,1723.37,462.74
1997-10-16,955.25,7938.8999,1699.66,457.16
1997-10-17,944.16,7847.0,1666.85,449.29
1997-10-20,955.61,7921.3999,1685.45,453.85
1997-10-21,972.28,8060.3999,1712.54,458.93
1997-10-22,968.49,8034.6001,1708.08,458.25
1997-10-23,950.69,7847.7998,1671.25,449.36
1997-10-24,941.64,7715.3999,1650.92,447.53
1997-10-27,876.99,7161.2002,1532.75,420.13
1997-10-28,921.85,7498.2998,1603.02,429.89
1997-10-29,919.16,7506.7002,1602.75,434.87
1997-10-30,903.68,7381.7002,1570.41,428.66
1997-10-31,914.62,7442.1001,1593.61,433.26
1997-11-03,938.99,7674.3999,1629.98,440.98
1997-11-04,940.76,7689.1001,1631.15,442.31
1997-11-05,942.76,7692.6001,1637.33,444.76
1997-11-06,938.03,7683.2002,1623.4399,442.83
1997-11-07,927.51,7581.2998,1602.4,435.22
1997-11-10,921.13,7552.6001,1590.72,435.4
1997-11-11,923.78,7558.7002,1584.86,433.43
1997-11-12,905.96,7401.2998,1541.71,423.44
